date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2016-06-26,UEFA Euro,Germany,Slovakia,3,0,1,True,3
2016-06-26,UEFA Euro,France,Republic of Ireland,2,1,1,True,1
2016-06-27,UEFA Euro,England,Iceland,1,2,-1,True,1
2016-06-27,UEFA Euro,Italy,Spain,2,0,1,True,2
2016-06-30,UEFA Euro,Poland,Portugal,1,1,0,True,0
2016-07-01,UEFA Euro,Wales,Belgium,3,1,1,True,2
2016-07-02,UEFA Euro,Germany,Italy,1,1,0,True,0
2016-07-03,UEFA Euro,France,Iceland,5,2,1,True,3
2016-07-06,UEFA Euro,Portugal,Wales,2,0,1,True,2
2016-07-07,UEFA Euro,Germany,France,0,2,-1,True,2
2016-07-10,UEFA Euro,Portugal,France,1,0,1,True,1
2018-06-14,World Cup,Russia,Saudi Arabia,5,0,1,True,5
2018-06-15,World Cup,Egypt,Uruguay,0,1,-1,True,1
2018-06-15,World Cup,Morocco,Iran,0,1,-1,True,1
2018-06-15,World Cup,Portugal,Spain,3,3,0,True,0
2018-06-16,World Cup,Peru,Denmark,0,1,-1,True,1
2018-06-16,World Cup,France,Australia,2,1,1,True,1
2018-06-16,World Cup,Croatia,Nigeria,2,0,1,True,2
2018-06-16,World Cup,Argentina,Iceland,1,1,0,True,0
2018-06-17,World Cup,Costa Rica,Serbia,0,1,-1,True,1
2018-06-17,World Cup,Germany,Mexico,0,1,-1,True,1
2018-06-17,World Cup,Brazil,Switzerland,1,1,0,True,0
2018-06-18,World Cup,Sweden,South Korea,1,0,1,True,1
2018-06-18,World Cup,Belgium,Panama,3,0,1,True,3
2018-06-18,World Cup,Tunisia,England,1,2,-1,True,1
2018-06-19,World Cup,Russia,Egypt,3,1,1,True,2
2018-06-19,World Cup,Colombia,Japan,1,2,-1,True,1
2018-06-19,World Cup,Poland,Senegal,1,2,-1,True,1
2018-06-20,World Cup,Uruguay,Saudi Arabia,1,0,1,True,1
2018-06-20,World Cup,Iran,Spain,0,1,-1,True,1
2018-06-20,World Cup,Portugal,Morocco,1,0,1,True,1
2018-06-21,World Cup,Denmark,Australia,1,1,0,True,0
2018-06-21,World Cup,France,Peru,1,0,1,True,1
2018-06-21,World Cup,Argentina,Croatia,0,3,-1,True,3
2018-06-22,World Cup,Nigeria,Iceland,2,0,1,True,2
2018-06-22,World Cup,Serbia,Switzerland,1,2,-1,True,1
2018-06-22,World Cup,Brazil,Costa Rica,2,0,1,True,2
2018-06-23,World Cup,South Korea,Mexico,1,2,-1,True,1
2018-06-23,World Cup,Germany,Sweden,2,1,1,True,1
2018-06-23,World Cup,Belgium,Tunisia,5,2,1,True,3
2018-06-24,World Cup,Japan,Senegal,2,2,0,True,0
2018-06-24,World Cup,Poland,Colombia,0,3,-1,True,3
2018-06-24,World Cup,England,Panama,6,1,1,True,5
2018-06-25,World Cup,Saudi Arabia,Egypt,2,1,1,True,1
2018-06-25,World Cup,Uruguay,Russia,3,0,1,True,3
2018-06-25,World Cup,Iran,Portugal,1,1,0,True,0
2018-06-25,World Cup,Spain,Morocco,2,2,0,True,0
2018-06-26,World Cup,Nigeria,Argentina,1,2,-1,True,1
2018-06-26,World Cup,Iceland,Croatia,1,2,-1,True,1
2018-06-26,World Cup,Australia,Peru,0,2,-1,True,2
2018-06-26,World Cup,Denmark,France,0,0,0,True,0
2018-06-27,World Cup,Mexico,Sweden,0,3,-1,True,3
2018-06-27,World Cup,South Korea,Germany,2,0,1,True,2
2018-06-27,World Cup,Serbia,Brazil,0,2,-1,True,2
2018-06-27,World Cup,Switzerland,Costa Rica,2,2,0,True,0
2018-06-28,World Cup,Senegal,Colombia,0,1,-1,True,1
2018-06-28,World Cup,Panama,Tunisia,1,2,-1,True,1
2018-06-28,World Cup,England,Belgium,0,1,-1,True,1
2018-06-28,World Cup,Japan,Poland,0,1,-1,True,1
2018-06-30,World Cup,France,Argentina,4,3,1,True,1
2018-06-30,World Cup,Uruguay,Portugal,2,1,1,True,1
2018-07-01,World Cup,Croatia,Denmark,1,1,0,True,0
2018-07-01,World Cup,Spain,Russia,1,1,0,True,0
2018-07-02,World Cup,Belgium,Japan,3,2,1,True,1
2018-07-02,World Cup,Brazil,Mexico,2,0,1,True,2
2018-07-03,World Cup,Sweden,Switzerland,1,0,1,True,1
2018-07-03,World Cup,Colombia,England,1,1,0,True,0
2018-07-06,World Cup,Uruguay,France,0,2,-1,True,2
2018-07-06,World Cup,Brazil,Belgium,1,2,-1,True,1
2018-07-07,World Cup,Russia,Croatia,2,2,0,True,0
2018-07-07,World Cup,Sweden,England,0,2,-1,True,2
2018-07-10,World Cup,France,Belgium,1,0,1,True,1
2018-07-11,World Cup,Croatia,England,2,1,1,True,1
2018-07-14,World Cup,Belgium,England,2,0,1,True,2
2018-07-15,World Cup,France,Croatia,4,2,1,True,2
2019-06-21,AFCON,Egypt,Zimbabwe,1,0,1,True,1
2019-06-22,AFCON,Nigeria,Burundi,1,0,1,True,1
2019-06-22,AFCON,Congo DR,Uganda,0,2,-1,True,2
2019-06-22,AFCON,Guinea,Madagascar,2,2,0,True,0
2019-06-23,AFCON,Morocco,Namibia,1,0,1,True,1
2019-06-23,AFCON,Senegal,Tanzania,2,0,1,True,2
2019-06-23,AFCON,Algeria,Kenya,2,0,1,True,2
2019-06-24,AFCON,Tunisia,Angola,1,1,0,True,0
2019-06-24,AFCON,Ivory Coast,South Africa,1,0,1,True,1
2019-06-24,AFCON,Mali,Mauritania,4,1,1,True,3
2019-06-25,AFCON,Cameroon,Guinea-Bissau,2,0,1,True,2
2019-06-25,AFCON,Ghana,Benin,2,2,0,True,0
2019-06-26,AFCON,Nigeria,Guinea,1,0,1,True,1
2019-06-26,AFCON,Uganda,Zimbabwe,1,1,0,True,0
2019-06-26,AFCON,Egypt,Congo DR,2,0,1,True,2
2019-06-27,AFCON,Madagascar,Burundi,1,0,1,True,1
2019-06-27,AFCON,Senegal,Algeria,0,1,-1,True,1
2019-06-27,AFCON,Kenya,Tanzania,3,2,1,True,1
2019-06-28,AFCON,South Africa,Namibia,1,0,1,True,1
2019-06-28,AFCON,Morocco,Ivory Coast,1,0,1,True,1
