Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Casey Legumina,29,3,Maj-AL,"Seattle,Tampa Bay",19,0,1.0,1.0,,25.2,30,10,10,6,18,2,3,3.51,99,8,0,1,4,2,1,1,1,111,409,0.65,0.16,0.09,0.36,0.27,0.06,1.403,0.346,6.3,3.0,668984
Brandon Leibrandt,33,4,Maj-NL,Cincinnati,1,0,,,,6.0,10,5,5,3,3,2,0,7.5,26,2,0,1,1,1,0,0,1,30,99,0.61,0.13,0.08,0.33,0.25,0.08,2.167,0.364,4.5,1.0,605335
Jack Leiter,26,5,Maj-AL,Texas,12,12,3.0,4.0,,66.1,60,33,32,28,74,9,4,4.34,255,7,2,0,4,0,5,1,1,287,1126,0.64,0.17,0.12,0.4,0.23,0.05,1.327,0.297,10.0,2.64,683004
Mark Leiter Jr.,35,1,Maj-AL,Athletics,28,0,,1.0,4.0,26.1,28,15,15,8,27,2,1,5.13,103,5,0,1,2,1,4,0,1,113,420,0.66,0.19,0.13,0.36,0.3,0.06,1.367,0.347,9.2,3.38,643410
Matthew Liberatore,26,5,Maj-NL,St. Louis,12,12,3.0,3.0,,62.0,70,30,30,23,57,10,0,4.35,241,7,1,0,5,3,9,4,3,268,1026,0.64,0.16,0.1,0.39,0.27,0.04,1.5,0.339,8.3,2.48,669461
Zack Littell,30,5,Maj-NL,Washington,12,8,5.0,4.0,,59.1,62,40,33,19,35,15,1,5.01,234,10,0,0,2,4,4,3,1,259,920,0.63,0.15,0.07,0.35,0.19,0.08,1.365,0.25,5.3,1.84,641793
Brendon Little,29,62,Maj-AL,Toronto,5,0,,2.0,,3.2,10,11,10,3,6,3,0,24.55,20,3,0,1,0,0,3,0,0,24,93,0.59,0.16,0.12,0.53,0.27,0.0,3.545,0.636,14.7,2.0,663893
Luke Little,25,51,Maj-NL,Chicago,1,0,,,,1.0,2,1,1,0,1,1,0,9.0,5,0,0,0,0,0,0,0,0,5,19,0.74,0.21,0.16,0.75,0.0,0.0,2.0,0.333,9.0,,681432
Jonathan Loaisiga,31,2,Maj-NL,Arizona,26,0,1.0,2.0,1.0,23.0,22,9,8,6,15,1,1,3.13,84,5,0,2,2,2,4,0,1,95,368,0.64,0.13,0.11,0.48,0.21,0.07,1.217,0.3,5.9,2.5,642528
Nick Lodolo,28,5,Maj-NL,Cincinnati,5,5,2.0,1.0,,27.2,25,16,16,13,22,7,5,5.2,97,5,1,0,3,4,3,2,0,120,460,0.62,0.15,0.1,0.4,0.26,0.05,1.373,0.25,7.2,1.69,666157
Jacob Lopez,28,5,Maj-AL,Athletics,12,10,4.0,3.0,,50.2,60,39,38,33,38,11,0,6.75,204,10,0,0,0,4,7,2,1,243,978,0.6,0.16,0.08,0.33,0.2,0.16,1.836,0.308,6.8,1.15,682052
Reynaldo L\xc3\xb3pez,32,1,Maj-NL,Atlanta,14,5,2.0,1.0,,36.1,36,20,17,17,32,6,1,4.21,141,8,0,0,1,1,8,2,0,160,623,0.62,0.18,0.08,0.35,0.3,0.07,1.459,0.288,7.9,1.88,625643
Brad Lord,26,2,Maj-NL,Washington,18,0,3.0,,,38.1,30,12,11,10,33,4,4,2.58,143,2,0,2,5,1,0,2,0,159,650,0.68,0.16,0.1,0.55,0.19,0.06,1.043,0.243,7.7,3.3,695418
Michael Lorenzen,34,2,Maj-NL,Colorado,14,13,2.0,8.0,,60.2,99,60,54,22,48,11,3,8.01,272,20,1,0,6,3,2,1,0,301,1137,0.62,0.18,0.09,0.45,0.28,0.04,1.995,0.407,7.1,2.18,547179
Richard Lovelady,30,3,Maj-NL,"New York,Washington",25,4,2.0,3.0,4.0,26.0,26,11,9,19,23,3,2,3.12,98,6,0,4,3,0,1,0,1,122,454,0.63,0.19,0.09,0.5,0.23,0.06,1.731,0.319,8.0,1.21,663992
Rhett Lowder,24,29,Maj-NL,Cincinnati,8,8,3.0,3.0,,38.1,36,24,23,18,27,2,0,5.4,148,9,1,0,4,0,0,0,0,166,650,0.6,0.19,0.07,0.45,0.23,0.06,1.409,0.286,6.3,1.5,695076
Joey Lucchesi,33,38,Maj-AL,Los Angeles,5,0,,1.0,,3.1,7,6,5,6,4,1,1,13.5,17,1,0,0,0,0,1,0,0,24,112,0.55,0.18,0.05,0.69,0.15,0.0,3.9,0.5,10.8,0.67,664192
Seth Lugo,36,1,Maj-AL,Kansas City,13,13,2.0,4.0,,76.0,79,36,33,24,64,7,1,3.91,292,19,3,0,7,2,2,2,2,321,1213,0.65,0.17,0.08,0.38,0.26,0.05,1.355,0.323,7.6,2.67,607625
Jes\xc3\xbas Luzardo,28,0,Maj-NL,Philadelphia,13,13,4.0,4.0,,73.0,76,39,37,21,80,8,5,4.56,282,15,1,0,5,3,5,4,1,312,1243,0.64,0.17,0.14,0.5,0.24,0.05,1.329,0.345,9.9,3.81,666200
Daniel Lynch IV,29,1,Maj-AL,Kansas City,25,0,2.0,,1.0,25.1,17,8,5,8,29,1,2,1.78,94,7,0,0,0,0,0,0,0,104,396,0.63,0.16,0.15,0.51,0.17,0.05,0.987,0.25,10.3,3.63,663738
Adam Macko,25,0,Maj-AL,Toronto,10,1,1.0,,,10.0,10,2,2,1,9,1,1,1.8,39,1,0,0,1,0,0,0,0,41,174,0.67,0.2,0.11,0.3,0.23,0.1,1.1,0.31,8.1,9.0,671936
Ty Madden,26,4,Maj-AL,Detroit,4,1,,,,14.2,10,5,5,4,16,2,0,3.07,54,1,0,0,0,0,1,1,1,58,223,0.61,0.14,0.12,0.45,0.18,0.11,0.955,0.222,9.8,4.0,680744
Tyler Mahle,31,10,Maj-NL,San Francisco,11,11,1.0,7.0,,56.2,63,38,38,24,57,11,0,6.04,220,9,1,0,4,3,1,1,1,249,967,0.63,0.19,0.08,0.45,0.21,0.05,1.535,0.335,9.1,2.38,641816
Sean Manaea,34,4,Maj-NL,New York,13,0,,1.0,,39.0,41,23,22,16,42,4,4,5.08,152,8,2,0,3,2,4,0,1,176,710,0.65,0.18,0.1,0.38,0.27,0.11,1.462,0.343,9.7,2.63,640455
Alek Manoah,28,20,Maj-AL,Los Angeles,3,0,,,,7.1,8,8,7,8,5,1,0,8.59,31,3,1,0,0,0,0,0,0,39,161,0.54,0.16,0.06,0.35,0.23,0.12,2.182,0.28,6.1,0.63,666201
Joe Mantiply,35,19,Maj-AL,Toronto,17,0,1.0,,,17.2,16,4,4,4,16,1,1,2.04,63,3,0,0,2,1,1,1,0,71,264,0.66,0.17,0.08,0.52,0.3,0.06,1.132,0.319,8.2,4.0,573009
Ron Marinaccio,30,1,Maj-NL,San Diego,21,0,1.0,,,32.0,31,14,14,9,27,4,0,3.94,121,5,1,0,4,0,3,1,0,130,545,0.62,0.13,0.12,0.46,0.21,0.11,1.25,0.3,7.6,3.0,676760
