season,week,team,off_epa_per_play,off_pass_epa_per_play,off_rush_epa_per_play,def_epa_per_play,off_epa_per_play_4w,def_epa_per_play_4w,off_pass_epa_per_play_4w,off_rush_epa_per_play_4w,off_epa_per_play_8w,def_epa_per_play_8w,off_pass_epa_per_play_8w,off_rush_epa_per_play_8w
2024,14,ATL,0.07955094,0.017250191,0.15284593,0.45017713,-0.060550449416041374,-0.0030077341943979263,0.009293285198509693,-0.14826428331434727,0.051406970247626305,0.03286758717149496,0.12325341673567891,-0.06938918447121978
2024,15,ATL,-0.18146107,-0.29797938,-0.11025545,-0.27333707,-0.06065685674548149,0.11714669829234481,-0.055415764451026917,-0.08277047052979469,0.036467740312218666,0.07240560557693243,0.0831464659422636,-0.01868112338706851
2024,16,ATL,0.09732859,0.26888344,-0.04971845,-0.4526711,-0.1296425648033619,0.054028384387493134,-0.1385314492508769,-0.15336602553725243,-0.02449738048017025,0.04905902501195669,0.00964389555156231,-0.07254118798300624
2024,17,ATL,0.11071267,0.051836114,0.22311336,0.1599877,-0.04221166670322418,-0.14051925390958786,-0.046485827304422855,-0.0400667330250144,-0.00046802591532468796,-0.029742472805082798,0.06756139546632767,-0.08335063001140952
2024,18,ATL,0.25447902,0.16800278,0.34778237,0.38721025,0.02653278224170208,-0.028960835188627243,0.009997589513659477,0.053996347822248936,-0.017008833587169647,-0.015984284691512585,0.009645437356084585,-0.047133967746049166
2025,1,ATL,0.075180106,0.35407415,-0.51746976,0.13958228,0.07026480324566364,-0.04470255598425865,0.04768573772162199,0.10273045767098665,0.004803973250091076,0.03622207115404308,-0.003865013364702463,0.00997999357059598
2025,2,ATL,-0.03431234,-0.34714398,0.1742421,-0.45820504,0.1344250962138176,0.058527279645204544,0.21069912146776915,0.0009268792346119881,0.002391265705227852,0.05627783201634884,0.03608383610844612,-0.07621957315132022
2025,3,ATL,-0.3391002,-0.5007859,0.007369189,-0.005843053,0.10151486378163099,0.05714379623532295,0.056692267768085,0.056917015463113785,0.029651598539203405,-0.041687728837132454,0.005103220231831074,0.008425141219049692
2025,4,ATL,0.27803215,0.69528514,-0.08864469,0.14115886,-0.010938356630504131,0.01568610721733421,-0.08146323263645172,0.0029809732222929597,0.007797212805598974,-0.006637363985646516,-0.03573282156139612,0.028488660522270948
2025,6,ATL,0.13845958,0.11521831,0.16694885,-0.10416144,-0.005050073377788067,-0.04582673928234726,0.050357356667518616,-0.10612579283770174,0.03260736493393779,-0.04526464763330296,0.0490215471945703,-0.0016976675833575428
2025,7,ATL,-0.11261776,-0.13095546,-0.064736016,0.03446366,0.010769794695079327,-0.10676266869995743,-0.009356603026390076,0.06497886183205992,0.07259744545444846,-0.024117694527376443,0.10067125922068954,0.032952870533335954
2025,8,ATL,-0.2850561,-0.10502046,-0.65637964,0.1786517,-0.008806560188531876,0.0164045070996508,0.04469052702188492,0.005234334268607199,0.04635415179654956,0.036774151667486876,0.05069139739498496,0.031075674865860492
2025,9,ATL,0.057627976,0.11827599,-0.124316074,0.013419388,0.004704464226961136,0.06252819672226906,0.14363188296556473,-0.1607028730213642,-0.0031169462017714977,0.039107151969801635,0.031084325164556503,-0.07886094989953563
2025,10,ATL,-0.0057120207,-0.129383,0.14445989,0.14939146,-0.05039658024907112,0.030593327712267637,-0.0006204042583703995,-0.16962071880698204,-0.027723326813429594,-0.007616705785039812,0.024868476204574108,-0.1378732558223419
2025,11,ATL,0.08826325,0.27655992,-0.12432975,0.09658963,-0.0864394799573347,0.09398155240342021,-0.06177073158323765,-0.17524296045303345,-0.037834842631127685,-0.00639055814826861,-0.03556366730481386,-0.055132049310486764
2025,12,ATL,-0.11221283,-0.14940746,-0.07767496,-0.23330636,-0.036219227011315525,0.10951304575428367,0.04010811261832714,-0.19014139473438263,-0.0225128935999237,0.06295877642696723,0.04239931982010603,-0.09245353023288772
2025,13,ATL,0.18087268,0.18432587,0.17710558,0.023049904,0.00699159421492368,0.006523528601974249,0.02901136316359043,-0.04546522535383701,0.005848029220942408,0.034525862662121654,0.08632162306457758,-0.10308404918760061
2025,14,ATL,-0.29738218,-0.37372258,-0.21611653,0.11889175,0.03780276991892606,0.008931157644838095,0.045523833483457565,0.029890187084674835,-0.0062969051650725305,0.019762242678552866,0.022451714612543583,-0.0698652658611536
2025,15,ATL,0.18552482,0.245137,0.0581715,0.14512442,-0.03511476889252663,0.0013062315993010998,-0.015561062842607498,-0.060253918170928955,-0.06077712442493066,0.047643892001360655,-0.03866589721292257,-0.1177484393119812
2025,16,ATL,0.064516105,0.28130013,-0.15812695,0.02460376,-0.010799376294016838,0.013439928647130728,-0.02341679111123085,-0.014628604985773563,-0.02350930165266618,0.0614764872007072,0.008345660753548145,-0.1023849998600781
2025,17,ATL,0.115643814,0.24617478,0.036534112,-0.10163594,0.03338285721838474,0.07791745942085981,0.08426010608673096,-0.034741601906716824,0.02018722571665421,0.04222049401141703,0.056635734625160694,-0.04010341363027692
2025,18,ATL,-0.24327204,-0.12864883,-0.42766595,-0.10582343,0.017075641080737114,0.046745998319238424,0.09972233325242996,-0.06988446786999702,0.027439205499831587,0.02783857798203826,0.07262308336794376,-0.019997140392661095
2023,1,BAL,-0.040195163,-0.05711118,-0.019779267,-0.29284406,,,,,,,,
2023,2,BAL,0.22459005,0.28103772,0.1369988,0.045634843,,,,,,,,
2023,3,BAL,-0.1447948,-0.20929375,-0.06417112,-0.15425004,0.09219744242727757,-0.12360460683703423,0.11196326836943626,0.05860976781696081,0.09219744242727757,-0.12360460683703423,0.11196326836943626,0.05860976781696081
2023,4,BAL,0.01598108,0.14434357,-0.11238141,-0.43971002,0.013200026005506516,-0.13381975144147873,0.004877594610055287,0.017682805036505062,0.013200026005506516,-0.13381975144147873,0.004877594610055287,0.017682805036505062
2023,5,BAL,-0.23216765,-0.38989663,0.09014816,-0.028253054,0.01389528950676322,-0.21029231883585453,0.03974408842623234,-0.014833249617367983,0.01389528950676322,-0.21029231883585453,0.03974408842623234,-0.014833249617367983
2023,6,BAL,0.022262217,0.17874467,-0.16356072,-0.04702107,-0.03409783123061061,-0.14414456812664866,-0.043452274054288864,0.012648606672883034,-0.03531729765236378,-0.1738844659179449,-0.046184055507183075,0.006163031980395317
2023,7,BAL,0.39740393,0.6264794,0.012140588,-0.16695854,-0.0846797889098525,-0.1673085461370647,-0.06902553513646126,-0.06249127350747585,-0.025720711797475815,-0.15274056637038788,-0.00869593396782875,-0.02212425973266363
2023,8,BAL,0.094863705,-0.035650764,0.27371687,-0.13444419,0.050869894213974476,-0.17048567114397883,0.1399177499115467,-0.04341334640048444,0.03472566498177392,-0.15477170555719308,0.08204339763947896,-0.01722928149891751
2023,9,BAL,0.19545221,-0.013559816,0.41027015,-0.44761255,0.07059055054560304,-0.09416921390220523,0.0949191665276885,0.0531112237367779,0.04224292002618313,-0.15223076636902988,0.06733162747696042,0.01913898705970496
2023,10,BAL,-0.015642283,0.028954916,-0.09145755,0.08354789,0.17749551543965936,-0.19900908879935741,0.1890033702366054,0.13314172276295722,0.07169884210452437,-0.17157682846300304,0.07277554809115827,0.07289516471792012
2023,11,BAL,0.17128299,0.28940353,0.015195115,0.09804764,0.16801939019933343,-0.1663668490946293,0.15155593072995543,0.15116751403547823,0.04166980064474046,-0.166837697615847,0.04126519779674709,0.04433812026400119
